
2024/09/05 (22:20:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/05 (22:20:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:21:31) | ===> btop++ v.1.3.2
2024/09/05 (22:21:31) | WARNING: Invalid box name in config value presets!

2024/09/05 (22:21:31) | ===> btop++ v.1.3.2
2024/09/05 (22:21:31) | WARNING: Invalid box name in config value presets!
2024/09/05 (22:21:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/05 (22:21:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:21:48) | ===> btop++ v.1.3.2
2024/09/05 (22:21:48) | WARNING: Invalid box name in config value presets!

2024/09/05 (22:21:48) | ===> btop++ v.1.3.2
2024/09/05 (22:21:48) | WARNING: Invalid box name in config value presets!
2024/09/05 (22:21:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/05 (22:21:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:22:08) | ===> btop++ v.1.3.2
2024/09/05 (22:22:08) | WARNING: Invalid box name in config value presets!

2024/09/05 (22:22:08) | ===> btop++ v.1.3.2
2024/09/05 (22:22:08) | WARNING: Invalid box name in config value presets!
2024/09/05 (22:22:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/05 (22:22:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:22:20) | ===> btop++ v.1.3.2
2024/09/05 (22:22:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:22:20) | ===> btop++ v.1.3.2
2024/09/05 (22:22:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:24:17) | ===> btop++ v.1.3.2
2024/09/05 (22:24:17) | WARNING: Invalid box name in config value presets!

2024/09/05 (22:24:17) | ===> btop++ v.1.3.2
2024/09/05 (22:24:17) | WARNING: Invalid box name in config value presets!
2024/09/05 (22:24:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/05 (22:24:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:24:51) | ===> btop++ v.1.3.2
2024/09/05 (22:24:51) | WARNING: Invalid box name in config value presets!

2024/09/05 (22:24:51) | ===> btop++ v.1.3.2
2024/09/05 (22:24:51) | WARNING: Invalid box name in config value presets!
2024/09/05 (22:24:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/05 (22:24:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:26:09) | ===> btop++ v.1.3.2
2024/09/05 (22:26:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:26:09) | ===> btop++ v.1.3.2
2024/09/05 (22:26:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:26:56) | ===> btop++ v.1.3.2
2024/09/05 (22:26:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:26:56) | ===> btop++ v.1.3.2
2024/09/05 (22:26:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:33:54) | ===> btop++ v.1.3.2
2024/09/05 (22:33:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:33:54) | ===> btop++ v.1.3.2
2024/09/05 (22:33:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:34:17) | ===> btop++ v.1.3.2
2024/09/05 (22:34:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:34:29) | ===> btop++ v.1.3.2
2024/09/05 (22:34:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:35:10) | ===> btop++ v.1.3.2
2024/09/05 (22:35:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:35:10) | ===> btop++ v.1.3.2
2024/09/05 (22:35:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:36:58) | ===> btop++ v.1.3.2
2024/09/05 (22:36:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:36:59) | ===> btop++ v.1.3.2
2024/09/05 (22:36:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:38:30) | ===> btop++ v.1.3.2
2024/09/05 (22:38:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:38:30) | ===> btop++ v.1.3.2
2024/09/05 (22:38:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:39:03) | ===> btop++ v.1.3.2
2024/09/05 (22:39:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:39:03) | ===> btop++ v.1.3.2
2024/09/05 (22:39:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (23:46:01) | ===> btop++ v.1.3.2
2024/09/05 (23:46:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (23:46:45) | ===> btop++ v.1.3.2
2024/09/05 (23:46:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (23:46:49) | ===> btop++ v.1.3.2
2024/09/05 (23:46:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (23:48:22) | ===> btop++ v.1.3.2
2024/09/05 (23:48:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (23:48:22) | ===> btop++ v.1.3.2
2024/09/05 (23:48:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (23:54:33) | ===> btop++ v.1.3.2
2024/09/05 (23:54:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (23:54:41) | ===> btop++ v.1.3.2
2024/09/05 (23:54:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (00:20:45) | ===> btop++ v.1.3.2
2024/09/06 (00:20:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (00:20:45) | ===> btop++ v.1.3.2
2024/09/06 (00:20:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (00:21:22) | ===> btop++ v.1.3.2
2024/09/06 (00:21:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (00:21:22) | ===> btop++ v.1.3.2
2024/09/06 (00:21:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (00:28:51) | ===> btop++ v.1.3.2
2024/09/06 (00:28:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (00:28:51) | ===> btop++ v.1.3.2
2024/09/06 (00:28:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (00:29:41) | ===> btop++ v.1.3.2
2024/09/06 (00:29:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (00:29:41) | ===> btop++ v.1.3.2
2024/09/06 (00:29:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (00:32:27) | ===> btop++ v.1.3.2
2024/09/06 (00:32:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (00:32:28) | ===> btop++ v.1.3.2
2024/09/06 (00:32:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (00:34:08) | ===> btop++ v.1.3.2
2024/09/06 (00:34:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (00:34:08) | ===> btop++ v.1.3.2
2024/09/06 (00:34:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
